,Mean,Variance,Kurtosis,Skewness,Mode,Median,Range,Min,Max
FT501,862.9416366387397,16278.435582642474,4.05776380236227,-1.0416824808727994,580.8259887695312,874.0087317276923,692.1851094563801,431.2040100097656,1123.3891194661458
FT503,1189.2052628577405,15164.731636144033,4.180418988442468,0.7017616086877947,1133.750732421875,1183.2331682306385,964.1569406322269,685.231554667155,1649.388495299382
FT506,537.9726910905453,39487.848041371864,1.8624872228709062,0.8080218356449761,451.6037902832031,417.8227388477376,761.3442380209187,258.02751625514384,1019.3717542760626
FT517,1.1335966167526235,8.396698943364633,7.582979314217949,2.565249688800654,0.1401865482330322,0.1401865482330322,9.678936171417053,0.1065427139401435,9.785478885357197
FT530,1109.3694091350587,18294.80956985743,2.7696919975056526,-0.9531839879093056,829.065673828125,1179.398665961669,500.43204187463834,812.3404190628617,1312.7724609375
FT532,1143.7551491532122,32939.567262658544,1.5351176604686154,-0.528982633173401,867.9173095703125,1241.8563895908603,640.4310359531714,779.7524047851562,1420.1834407383276
FT533,134.6661846520177,11.445102499992672,7.212228632685943,-0.3529008060530999,136.4071807861328,135.5705471925021,57.04512076538224,113.76984162170272,170.81496238708496
TI516,294.66231362172147,4.775535586918432,6.122098781567705,-1.2891116391042359,295.2478942871094,295.0238342285156,18.52301025390625,281.4676818847656,299.9906921386719
TI522,210.75916628521847,1.4620092897470798,4.196007931327067,-0.96771223969945,211.18478393554688,210.98259919265223,8.029113769531222,205.2843170166016,213.3134307861328
TI539,194.57804922858827,7.315935234228319,4.340553776944023,0.8085565027960163,195.8031005859375,194.42958068847656,17.24531555175784,188.9355010986328,206.18081665039065
AI508,0.5888867587856917,0.03344745597653328,2.6431431854597953,0.5985625068718069,0.996490240097046,0.5132085092764398,0.9959287794265504,0.0006562320556883,0.9965850114822388
