,Mean,Variance,Kurtosis,Skewness,Mode,Median,Range,Min,Max
ph,7.1516163231543395,0.0012851700299653288,2.9531602531945147,1.073815054505305,7.125,7.133,0.14400000000000013,7.112,7.256
Temp,23.151422003170882,3.6984579141387424,2.857027659959668,-0.286055059168868,23.128,23.158,8.739999999999998,18.26,27.0
Cond,217.54052209278282,67.6296116926561,2.6065577434232607,-0.08056652539777348,205.696,217.764,38.266999999999996,197.751,236.018
DO,6.632270696904942,0.010893313661467964,2.4744926042095376,-0.5469933036135125,6.69,6.657,0.4379999999999997,6.384,6.822
Turbidity,0.9489197628730957,0.003987042231075711,4.995060325860112,1.3099444492367738,0.945,0.941,0.39,0.799,1.189
